,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
103,.Net Developer,HR Exchange,-1,"Responsibilities:
Responsible for manage, analyse, develop and automate software projects for functional requirements and creation of automation plans and test scripts
Be part of the DevOps team, will identify, analyze and automate manual tasks and issue fixes
Responsible to take ownership of assigned work products and deliver on stipulated timeline
Responsible for improve & manage deployment pipeline, exposure to DevOps environment and tools like Git, Jenkins and JIRA, Confluence
Handling L2/L3 application production support cycles, other operations such as co-ordinate with infra teams
Actively participate in inception, daily stand-ups and retrospective meeting & represent testing
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
104,Dashboarding or BI Tools Programmers,Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser















































Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
105,UI & UX Design,Ownway Pte Ltd,-1,"Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser
Internet Explorer version 11 or higher

Programming Language


















































Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
106,Senior Software Engineer(Unreal/VR),Refract Technologies,-1,"About Us
At Deep Dive Studios, we believe that games have the power to change the world. Every new idea can become a breakthrough, every problem requires a custom solution, and every person can make an impact.
Founded in 2021, Deep Dive Studios set out to not only push the frontiers of what gaming can be, but also bring better solutions to the problems faced in game development. By putting gamer’s first - and nurturing a culture of valuing different ideas and opinions, we aim to dive deep into the realms of possibility, and level up the world.

The Role





Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
107,Senior Process Automation Engineer,"Keppel Corporation Ltd
3.4",3.4,"JOB DESCRIPTION
RPA Development
Design, develop, and implement various automation and robotic process automation (RPA) to transform current operation processes.
Review and evaluate current operation processes
Present ideas for process/system transformation, including cost benefits analysis
Work with various process owners, subcontractors, vendors, and programmers to develop & implement proposed ideas
Ensure smooth transition of processes
Conduct review and follow up to ensure sustainability and effective implementation
SharePoint





Keppel Corporation Ltd
Show More
Report",$26K - $40K (Glassdoor Est.),Singapore,3.3,3.6,3.4,2.9,3.2,"['""People are generally friendly, but competency work"" (in 2 reviews)', -1, -1, -1, -1]","['""Very heavy middle management, while in the department I\'m in, the entry/lower"" (in 4 reviews)', '""sometimes the deadlines are very stressful and you have to work several hours (overtime paid) to finish those goals"" (in 6 reviews)', '""Low basic high bonus remuneration scheme doesn’t work for new generation of employees."" (in 5 reviews)', '""Exploitative culture."" (in 1 reviews)', -1]",10000+ Employees,1968,Company - Public,Investment & Asset Management,Finance,$1 to $5 million (USD)
108,Executive - Process Support (Contract till 31 March 2024 ),"People Profilers
4.2",4.2,"Job Description:
Industry: Automotive German MNC
Location: Jalan Ahmad Ibrahim (Company transport provided)
Working Hours: 9am - 6pm (Mon-Fri) - Hybrid Work Arrangement
This is a Contract Role.
Period: Immediately to 31 March 2024
Salary: Up to $4,800.00
Objective of Job
To ensure and maintain the parts master data including prices, volume data, and all relevant indicator setup related to logistics business.





Show More
Report",Employer Provided Salary:$5K,Singapore,4.2,4.0,4.3,4.2,4.4,"['""Overall office is like a family environment, friendly colleagues and decent benefits."" (in 3 reviews)', '""Great team to work with!"" (in 11 reviews)', '""Office space is okay to be in"" (in 5 reviews)', -1, -1]","['""Commission scheme isn\'t the most fantastic within the industry."" (in 5 reviews)', '""Flexi benefits $500 per year, this is the only benefit in PP, nothing else."" (in 3 reviews)', '""Training is very dependable on which team you join."" (in 11 reviews)', '""Some managers are known for Micro"" (in 6 reviews)', -1]",1 to 50 Employees,2002,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
109,Full Stack Programmer - J41769,"ScienTec Consulting
3.8",3.8,"We are looking for a Full Stack Programmer to onboard with one of Singapore largest R&D Government Agency!

Opportunity to gain exposure on multiple government projects
Good working environment and culture
Salary up to $8k
West area working location

We are looking for a full stack programmer, with following qualification:

Minimum 3 years of working experience in C#/Java development

Show More
Report",Employer Provided Salary:$8K,Singapore,3.4,3.7,3.3,3.6,3.4,"['""2. Good benefits"" (in 1 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
110,Technical Support Programmer (.NET),"TRINITY CONSULTING SERVICES PTE. LTD.
4.1",4.1,"Position: Technical Support Programmer
Company background: IT Solutions
Office location: Walking distance from Lavender MRT Station
Salary range: Up to SGD3000
DUTIES & RESPONSIBLITIES
To upkeep and perform system maintenance of security and parking systems, and provide day-to-day system/technical support to users on all system related enquiries.
Assist in resolving software related technical issues with customers, contractors and vendors.
Able to provide necessary training to teammates and end-users.
Show More
Report",Employer Provided Salary:$3K - $3K,Singapore,3.8,3.5,4.1,3.5,4.1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
111,Lotus Notes Programmers,Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser
















































Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
112,Lead Rendering Programmer,"Ubisoft
3.8",3.8,"Company Description

Ubisoft’s 21,000 team members, working across more than 40 locations around the world, are bound by a common mission to enrich players’ lives with original and memorable gaming experiences. Their dedication and talent have brought to life many acclaimed franchises such as Assassin’s Creed, Far Cry, Watch Dogs, Just Dance, Rainbow Six, and many more to come. Ubisoft is an equal opportunity employer that believes diverse backgrounds and perspectives are key to creating worlds where both players and teams can thrive and express themselves. If you are excited about solving game-changing challenges, cutting-edge technologies, and pushing the boundaries of entertainment, we invite you to join our journey and help us create the unknown.
Since opening its doors in 2008, Ubisoft Singapore has become the biggest AAA game development studio in Southeast Asia. The 500-strong studio is home to 35+ different nationalities focused on delivering ambitious gaming experiences to our players. Ubisoft Singapore has been contributing to all the Assassin’s Creed® titles since Assassin’s Creed® II. It innovated within the franchise as the studio behind the naval battle gameplay and water technology in Assassin’s Creed® III, Assassin’s Creed® IV Black Flag® and most recently in Assassin’s Creed® Valhalla. Its expertise in AAA and live operations, combined with a passion for naval gameplay, pushed the team to lead the development of Skull and Bones™ revealed at E3 in 2017.






Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",10000+ Employees,1986,Company - Public,Video Game Publishing,Media & Communication,$2 to $5 billion (USD)
113,JAVA Programmers,Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser















































Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
